"Land";"Barnehage";"Utdanning";"Pleie og omsorg";"Helse"
"Irland";"0,1";"2,3";"1,2";"3,8"
"Hellas";"0,3";"2,6";"0,2";"4,5"
"Ungarn";"0,7";"2,4";"0,2";"4,4"
"Luxembourg";"0,5";"2,6";"1";"3,6"
"Polen";"0,7";"2,8";"0,4";"4,2"
"Estland";"1";"2,7";"0,4";"4,6"
"Slovakia";"0,5";"2,6";"0,5";"5,3"
"Spania";"0,6";"2,7";"0,8";"5,6"
"Italia";"0,5";"2,8";"0,7";"5,7"
"Tsjekkia";"0,5";"2,5";"1,5";"5,2"
"Slovenia";"0,8";"3";"0,9";"5,3"
"Portugal";"0,4";"3,7";"0,4";"5,5"
"Sveits";"0,4";"3,2";"1,6";"5,8"
"Østerrike";"0,6";"3";"1,1";"6,6"
"Storbritannia";"0,2";"3,6";"1,4";"6,6"
"Finland";"1";"3,7";"2";"5,7"
"Belgia";"0,7";"4,2";"2,1";"5,7"
"Island";"1,5";"4,3";"1,6";"5,3"
"Nederland";"0,3";"3,2";"3,7";"5,7"
"Tyskland";"0,8";"2,6";"1,5";"8,1"
"Frankrike";"0,7";"3,5";"1,9";"8,1"
"Norge";"1,4";"4,1";"3,3";"5,8"
"Danmark";"1,3";"4";"3,4";"6,1"
"Sverige";"1,7";"4";"3,2";"6,6"